id,author/disease,gene,article_count
0,Schofield TS/Asperger syndrome,matrix metallopeptidase 9,1
1,Sup Lee C/Asperger syndrome,matrix metallopeptidase 9,1
2,Peppers BP/Asperger syndrome,matrix metallopeptidase 9,1
3,Mauger T/Asperger syndrome,matrix metallopeptidase 9,1
4,Sivertsen B/Asperger syndrome,multiple sclerosis,1
5,Hysing M/Asperger syndrome,multiple sclerosis,1
6,Harvey AG/Asperger syndrome,multiple sclerosis,1
7,Petrie KJ/Asperger syndrome,multiple sclerosis,1
8,Runge K/Asperger syndrome,albumin,1
9,Tebartz van Elst L/Asperger syndrome,albumin,1
10,Maier S/Asperger syndrome,albumin,1
11,Nickel K/Asperger syndrome,albumin,1
12,Denzel D/Asperger syndrome,albumin,1
13,Matysik M/Asperger syndrome,albumin,1
14,Kuzior H/Asperger syndrome,albumin,1
15,Robinson T/Asperger syndrome,albumin,1
16,Blank T/Asperger syndrome,albumin,1
17,Dersch R/Asperger syndrome,albumin,1
18,Domschke K/Asperger syndrome,albumin,1
19,Endres D/Asperger syndrome,albumin,1
20,Rontani P/Asperger syndrome,molybdenum cofactor sulfurase,1
21,Perche O/Asperger syndrome,molybdenum cofactor sulfurase,1
22,Greetham L/Asperger syndrome,molybdenum cofactor sulfurase,1
23,Jullien N/Asperger syndrome,molybdenum cofactor sulfurase,1
24,Gepner B/Asperger syndrome,molybdenum cofactor sulfurase,1
25,Feron F/Asperger syndrome,molybdenum cofactor sulfurase,1
26,Nivet E/Asperger syndrome,molybdenum cofactor sulfurase,1
27,Erard-Garcia M/Asperger syndrome,molybdenum cofactor sulfurase,1
28,Berkel S/Asperger syndrome,androgen receptor,1
29,Eltokhi A/Asperger syndrome,androgen receptor,1
30,Frohlich H/Asperger syndrome,androgen receptor,1
31,Porras-Gonzalez D/Asperger syndrome,androgen receptor,1
32,Rafiullah R/Asperger syndrome,androgen receptor,1
33,Sprengel R/Asperger syndrome,androgen receptor,1
34,Rappold GA/Asperger syndrome,androgen receptor,1
35,Preckel K/Asperger syndrome,oxytocin receptor,1
36,Kanske P/Asperger syndrome,oxytocin receptor,1
37,Singer T/Asperger syndrome,oxytocin receptor,1
38,Paulus FM/Asperger syndrome,oxytocin receptor,1
39,Krach S/Asperger syndrome,oxytocin receptor,1
40,Iourov IY/Asperger syndrome,cholecystokinin,1
41,Vorsanova SG/Asperger syndrome,cholecystokinin,1
42,Voinova VY/Asperger syndrome,cholecystokinin,1
43,Yurov YB/Asperger syndrome,cholecystokinin,1
44,Di Napoli A/Asperger syndrome,oxytocin receptor,1
45,Warrier V/Asperger syndrome,oxytocin receptor,1
46,Baron-Cohen S/Asperger syndrome,oxytocin receptor,3
47,Chakrabarti B/Asperger syndrome,oxytocin receptor,2
48,Cottenceau H/Asperger syndrome,insulin,1
49,Roux S/Asperger syndrome,insulin,1
50,Blanc R/Asperger syndrome,insulin,1
51,Lenoir P/Asperger syndrome,insulin,1
52,Bonnet-Brilhault F/Asperger syndrome,insulin,1
53,Barthelemy C/Asperger syndrome,insulin,1
54,Parellada M/Asperger syndrome,catalase,2
55,Moreno C/Asperger syndrome,catalase,2
56,Mac-Dowell K/Asperger syndrome,catalase,2
57,Leza JC/Asperger syndrome,catalase,2
58,Giraldez M/Asperger syndrome,catalase,2
59,Bailon C/Asperger syndrome,catalase,2
60,Castro C/Asperger syndrome,catalase,2
61,Miranda-Azpiazu P/Asperger syndrome,catalase,2
62,Fraguas D/Asperger syndrome,catalase,2
63,Arango C/Asperger syndrome,catalase,2
64,Parellada M/Asperger syndrome,ceruloplasmin,2
65,Moreno C/Asperger syndrome,ceruloplasmin,2
66,Mac-Dowell K/Asperger syndrome,ceruloplasmin,2
67,Leza JC/Asperger syndrome,ceruloplasmin,2
68,Giraldez M/Asperger syndrome,ceruloplasmin,2
69,Bailon C/Asperger syndrome,ceruloplasmin,2
70,Castro C/Asperger syndrome,ceruloplasmin,2
71,Miranda-Azpiazu P/Asperger syndrome,ceruloplasmin,2
72,Fraguas D/Asperger syndrome,ceruloplasmin,2
73,Arango C/Asperger syndrome,ceruloplasmin,2
74,Brynska A/Asperger syndrome,Gilles de la Tourette syndrome,1
75,Lipinska E/Asperger syndrome,Gilles de la Tourette syndrome,1
76,Matelska M/Asperger syndrome,Gilles de la Tourette syndrome,1
77,Cukier HN/Asperger syndrome,neurexophilin 1,2
78,Salyakina D/Asperger syndrome,neurexophilin 1,2
79,Blankstein SF/Asperger syndrome,neurexophilin 1,2
80,Robinson JL/Asperger syndrome,neurexophilin 1,2
81,Sacharow S/Asperger syndrome,neurexophilin 1,2
82,Ma D/Asperger syndrome,neurexophilin 1,2
83,Wright HH/Asperger syndrome,neurexophilin 1,2
84,Abramson RK/Asperger syndrome,neurexophilin 1,2
85,Menon R/Asperger syndrome,neurexophilin 1,2
86,Williams SM/Asperger syndrome,neurexophilin 1,2
87,Haines JL/Asperger syndrome,neurexophilin 1,2
88,Cuccaro ML/Asperger syndrome,neurexophilin 1,2
89,Gilbert JR/Asperger syndrome,neurexophilin 1,2
90,Pericak-Vance MA/Asperger syndrome,neurexophilin 1,2
91,Cukier HN/Asperger syndrome,islet cell autoantigen 1,2
92,Salyakina D/Asperger syndrome,islet cell autoantigen 1,2
93,Blankstein SF/Asperger syndrome,islet cell autoantigen 1,2
94,Robinson JL/Asperger syndrome,islet cell autoantigen 1,2
95,Sacharow S/Asperger syndrome,islet cell autoantigen 1,2
96,Ma D/Asperger syndrome,islet cell autoantigen 1,2
97,Wright HH/Asperger syndrome,islet cell autoantigen 1,2
98,Abramson RK/Asperger syndrome,islet cell autoantigen 1,2
99,Menon R/Asperger syndrome,islet cell autoantigen 1,2
100,Williams SM/Asperger syndrome,islet cell autoantigen 1,2
101,Haines JL/Asperger syndrome,islet cell autoantigen 1,2
102,Cuccaro ML/Asperger syndrome,islet cell autoantigen 1,2
103,Gilbert JR/Asperger syndrome,islet cell autoantigen 1,2
104,Pericak-Vance MA/Asperger syndrome,islet cell autoantigen 1,2
105,Schwarz E/Asperger syndrome,insulin,1
106,Guest PC/Asperger syndrome,insulin,1
107,Rahmoune H/Asperger syndrome,insulin,1
108,Wang L/Asperger syndrome,insulin,1
109,Levin Y/Asperger syndrome,insulin,1
110,Ingudomnukul E/Asperger syndrome,insulin,1
111,Ruta L/Asperger syndrome,insulin,1
112,Kent L/Asperger syndrome,insulin,2
113,Spain M/Asperger syndrome,insulin,1
114,Baron-Cohen S/Asperger syndrome,insulin,3
115,Bahn S/Asperger syndrome,insulin,1
116,Wermter AK/Asperger syndrome,oxytocin receptor,2
117,Kamp-Becker I/Asperger syndrome,oxytocin receptor,2
118,Hesse P/Asperger syndrome,oxytocin receptor,1
119,Schulte-Korne G/Asperger syndrome,oxytocin receptor,2
120,Strauch K/Asperger syndrome,oxytocin receptor,2
121,Remschmidt H/Asperger syndrome,oxytocin receptor,2
122,Chakrabarti B/Asperger syndrome,homeobox A1,2
123,Dudbridge F/Asperger syndrome,homeobox A1,1
124,Kent L/Asperger syndrome,homeobox A1,2
125,Wheelwright S/Asperger syndrome,homeobox A1,1
126,Hill-Cawthorne G/Asperger syndrome,homeobox A1,1
127,Allison C/Asperger syndrome,homeobox A1,1
