id,author/disease,gene,article_count
7373,Schofield TS/Asperger syndrome,matrix metallopeptidase 9,1
8040,Sup Lee C/Asperger syndrome,matrix metallopeptidase 9,1
6401,Peppers BP/Asperger syndrome,matrix metallopeptidase 9,1
5244,Mauger T/Asperger syndrome,matrix metallopeptidase 9,1
7724,Sivertsen B/Asperger syndrome,multiple sclerosis,1
3545,Hysing M/Asperger syndrome,multiple sclerosis,1
3182,Harvey AG/Asperger syndrome,multiple sclerosis,1
6453,Petrie KJ/Asperger syndrome,multiple sclerosis,1
7100,Runge K/Asperger syndrome,albumin,1
8200,Tebartz van Elst L/Asperger syndrome,albumin,1
5010,Maier S/Asperger syndrome,albumin,1
5902,Nickel K/Asperger syndrome,albumin,1
1844,Denzel D/Asperger syndrome,albumin,1
5243,Matysik M/Asperger syndrome,albumin,1
4409,Kuzior H/Asperger syndrome,albumin,1
6968,Robinson T/Asperger syndrome,albumin,1
809,Blank T/Asperger syndrome,albumin,1
1850,Dersch R/Asperger syndrome,albumin,1
1975,Domschke K/Asperger syndrome,albumin,1
2144,Endres D/Asperger syndrome,albumin,1
7027,Rontani P/Asperger syndrome,molybdenum cofactor sulfurase,1
6403,Perche O/Asperger syndrome,molybdenum cofactor sulfurase,1
2934,Greetham L/Asperger syndrome,molybdenum cofactor sulfurase,1
3839,Jullien N/Asperger syndrome,molybdenum cofactor sulfurase,1
2704,Gepner B/Asperger syndrome,molybdenum cofactor sulfurase,1
2345,Feron F/Asperger syndrome,molybdenum cofactor sulfurase,1
5958,Nivet E/Asperger syndrome,molybdenum cofactor sulfurase,1
2156,Erard-Garcia M/Asperger syndrome,molybdenum cofactor sulfurase,1
709,Berkel S/Asperger syndrome,androgen receptor,1
2137,Eltokhi A/Asperger syndrome,androgen receptor,1
2521,Frohlich H/Asperger syndrome,androgen receptor,1
6577,Porras-Gonzalez D/Asperger syndrome,androgen receptor,1
6732,Rafiullah R/Asperger syndrome,androgen receptor,1
7874,Sprengel R/Asperger syndrome,androgen receptor,1
6791,Rappold GA/Asperger syndrome,androgen receptor,1
6611,Preckel K/Asperger syndrome,oxytocin receptor,1
3926,Kanske P/Asperger syndrome,oxytocin receptor,1
7700,Singer T/Asperger syndrome,oxytocin receptor,1
6344,Paulus FM/Asperger syndrome,oxytocin receptor,1
4302,Krach S/Asperger syndrome,oxytocin receptor,1
3610,Iourov IY/Asperger syndrome,cholecystokinin,1
8679,Vorsanova SG/Asperger syndrome,cholecystokinin,1
8673,Voinova VY/Asperger syndrome,cholecystokinin,1
9270,Yurov YB/Asperger syndrome,cholecystokinin,1
1892,Di Napoli A/Asperger syndrome,oxytocin receptor,1
8771,Warrier V/Asperger syndrome,oxytocin receptor,1
568,Baron-Cohen S/Asperger syndrome,oxytocin receptor,3
1260,Chakrabarti B/Asperger syndrome,oxytocin receptor,2
1585,Cottenceau H/Asperger syndrome,insulin,1
7065,Roux S/Asperger syndrome,insulin,1
805,Blanc R/Asperger syndrome,insulin,1
4629,Lenoir P/Asperger syndrome,insulin,1
854,Bonnet-Brilhault F/Asperger syndrome,insulin,1
578,Barthelemy C/Asperger syndrome,insulin,1
6264,Parellada M/Asperger syndrome,catalase,2
5626,Moreno C/Asperger syndrome,catalase,2
4966,Mac-Dowell K/Asperger syndrome,catalase,2
4673,Leza JC/Asperger syndrome,catalase,2
2783,Giraldez M/Asperger syndrome,catalase,2
484,Bailon C/Asperger syndrome,catalase,2
1216,Castro C/Asperger syndrome,catalase,2
5516,Miranda-Azpiazu P/Asperger syndrome,catalase,2
2470,Fraguas D/Asperger syndrome,catalase,2
322,Arango C/Asperger syndrome,catalase,2
6264,Parellada M/Asperger syndrome,ceruloplasmin,2
5626,Moreno C/Asperger syndrome,ceruloplasmin,2
4966,Mac-Dowell K/Asperger syndrome,ceruloplasmin,2
4673,Leza JC/Asperger syndrome,ceruloplasmin,2
2783,Giraldez M/Asperger syndrome,ceruloplasmin,2
484,Bailon C/Asperger syndrome,ceruloplasmin,2
1216,Castro C/Asperger syndrome,ceruloplasmin,2
5516,Miranda-Azpiazu P/Asperger syndrome,ceruloplasmin,2
2470,Fraguas D/Asperger syndrome,ceruloplasmin,2
322,Arango C/Asperger syndrome,ceruloplasmin,2
1012,Brynska A/Asperger syndrome,Gilles de la Tourette syndrome,1
4786,Lipinska E/Asperger syndrome,Gilles de la Tourette syndrome,1
5205,Matelska M/Asperger syndrome,Gilles de la Tourette syndrome,1
1631,Cukier HN/Asperger syndrome,neurexophilin 1,2
7208,Salyakina D/Asperger syndrome,neurexophilin 1,2
810,Blankstein SF/Asperger syndrome,neurexophilin 1,2
6965,Robinson JL/Asperger syndrome,neurexophilin 1,2
7130,Sacharow S/Asperger syndrome,neurexophilin 1,2
4953,Ma D/Asperger syndrome,neurexophilin 1,2
8973,Wright HH/Asperger syndrome,neurexophilin 1,2
31,Abramson RK/Asperger syndrome,neurexophilin 1,2
5403,Menon R/Asperger syndrome,neurexophilin 1,2
8911,Williams SM/Asperger syndrome,neurexophilin 1,2
3085,Haines JL/Asperger syndrome,neurexophilin 1,2
1622,Cuccaro ML/Asperger syndrome,neurexophilin 1,2
2756,Gilbert JR/Asperger syndrome,neurexophilin 1,2
6414,Pericak-Vance MA/Asperger syndrome,neurexophilin 1,2
1631,Cukier HN/Asperger syndrome,islet cell autoantigen 1,2
7208,Salyakina D/Asperger syndrome,islet cell autoantigen 1,2
810,Blankstein SF/Asperger syndrome,islet cell autoantigen 1,2
6965,Robinson JL/Asperger syndrome,islet cell autoantigen 1,2
7130,Sacharow S/Asperger syndrome,islet cell autoantigen 1,2
4953,Ma D/Asperger syndrome,islet cell autoantigen 1,2
8973,Wright HH/Asperger syndrome,islet cell autoantigen 1,2
31,Abramson RK/Asperger syndrome,islet cell autoantigen 1,2
5403,Menon R/Asperger syndrome,islet cell autoantigen 1,2
8911,Williams SM/Asperger syndrome,islet cell autoantigen 1,2
3085,Haines JL/Asperger syndrome,islet cell autoantigen 1,2
1622,Cuccaro ML/Asperger syndrome,islet cell autoantigen 1,2
2756,Gilbert JR/Asperger syndrome,islet cell autoantigen 1,2
6414,Pericak-Vance MA/Asperger syndrome,islet cell autoantigen 1,2
