id,author/disease,gene,n_articles
568,Baron-Cohen S/Asperger syndrome,oxytocin receptor,3
1260,Chakrabarti B/Asperger syndrome,oxytocin receptor,2
6264,Parellada M/Asperger syndrome,catalase,2
5626,Moreno C/Asperger syndrome,catalase,2
4966,Mac-Dowell K/Asperger syndrome,catalase,2
4673,Leza JC/Asperger syndrome,catalase,2
2783,Giraldez M/Asperger syndrome,catalase,2
484,Bailon C/Asperger syndrome,catalase,2
1216,Castro C/Asperger syndrome,catalase,2
5516,Miranda-Azpiazu P/Asperger syndrome,catalase,2
2470,Fraguas D/Asperger syndrome,catalase,2
322,Arango C/Asperger syndrome,catalase,2
6264,Parellada M/Asperger syndrome,ceruloplasmin,2
5626,Moreno C/Asperger syndrome,ceruloplasmin,2
4966,Mac-Dowell K/Asperger syndrome,ceruloplasmin,2
4673,Leza JC/Asperger syndrome,ceruloplasmin,2
2783,Giraldez M/Asperger syndrome,ceruloplasmin,2
484,Bailon C/Asperger syndrome,ceruloplasmin,2
1216,Castro C/Asperger syndrome,ceruloplasmin,2
5516,Miranda-Azpiazu P/Asperger syndrome,ceruloplasmin,2
2470,Fraguas D/Asperger syndrome,ceruloplasmin,2
322,Arango C/Asperger syndrome,ceruloplasmin,2
1631,Cukier HN/Asperger syndrome,neurexophilin 1,2
7208,Salyakina D/Asperger syndrome,neurexophilin 1,2
810,Blankstein SF/Asperger syndrome,neurexophilin 1,2
6965,Robinson JL/Asperger syndrome,neurexophilin 1,2
7130,Sacharow S/Asperger syndrome,neurexophilin 1,2
4953,Ma D/Asperger syndrome,neurexophilin 1,2
8973,Wright HH/Asperger syndrome,neurexophilin 1,2
31,Abramson RK/Asperger syndrome,neurexophilin 1,2
5403,Menon R/Asperger syndrome,neurexophilin 1,2
8911,Williams SM/Asperger syndrome,neurexophilin 1,2
3085,Haines JL/Asperger syndrome,neurexophilin 1,2
1622,Cuccaro ML/Asperger syndrome,neurexophilin 1,2
2756,Gilbert JR/Asperger syndrome,neurexophilin 1,2
6414,Pericak-Vance MA/Asperger syndrome,neurexophilin 1,2
1631,Cukier HN/Asperger syndrome,islet cell autoantigen 1,2
7208,Salyakina D/Asperger syndrome,islet cell autoantigen 1,2
810,Blankstein SF/Asperger syndrome,islet cell autoantigen 1,2
6965,Robinson JL/Asperger syndrome,islet cell autoantigen 1,2
7130,Sacharow S/Asperger syndrome,islet cell autoantigen 1,2
4953,Ma D/Asperger syndrome,islet cell autoantigen 1,2
8973,Wright HH/Asperger syndrome,islet cell autoantigen 1,2
31,Abramson RK/Asperger syndrome,islet cell autoantigen 1,2
5403,Menon R/Asperger syndrome,islet cell autoantigen 1,2
8911,Williams SM/Asperger syndrome,islet cell autoantigen 1,2
3085,Haines JL/Asperger syndrome,islet cell autoantigen 1,2
